module	year	julian_day
IEAVESPR	1978	348
IEAVESVC	1978	318
IEAVESVR	1978	348
IEAVEUPC	1978	348
IEAVEVAL	1982	050
IEAVEVT0	1978	348
IEAVEXS	1978	348
IEAVFP	1980	164
IEAVFREE	1981	234
IEAVGCAS	1978	348
IEAVGPRR	1978	348
IEAVIOCP	1978	348
IEAVITAS	1978	348
IEAVLK02	1985	211
IEAVLK03	1985	211
IEAVMASV	1978	348
IEAVMDOM	1981	021
IEAVMED2	1979	080
IEAVMNTR	1978	348
IEAVMQR0	1978	348
IEAVMQWR	1978	269
IEAVMSGS	1978	348
IEAVMWSV	1980	017
IEAVMWTL	1978	348
IEAVMWTO	1984	028
IEAVNPB6	1978	348
IEAVPCB	1982	050
IEAVPFTE	1978	348
IEAVPREF	1981	021
IEAVPRSB	1978	348
IEAVPSI	1981	234
IEAVRSM	1980	164
IEAVRT00	1981	235
IEAVRT01	1986	142
IEAVRT02	1978	348
IEAVRTI1	1985	211
IEAVRTOD	1978	290
IEAVSETS	1981	234
IEAVSQA	1981	234
IEAVSTA0	1982	258
IEAVSWCH	1984	026
IEAVTABD	1985	211
IEAVTACR	1978	226
IEAVTADR	1978	333
IEAVTAS1	1982	050
IEAVTAS2	1981	021
IEAVTAS3	1980	247
IEAVTB00	1979	080
IEAVTCR1	1978	356
IEAVTEST	1985	211
IEAVTFHX	1978	348
IEAVTFMT	1981	021
IEAVTFRD	1985	211
IEAVTFRT	1986	216
IEAVTFSD	1986	216
IEAVTFTM	1978	318
IEAVTGLB	1982	259
IEAVTJBN	1980	017
IEAVTLCL	1979	330
IEAVTMMT	1978	348
IEAVTMRM	1979	080
IEAVTMSI	1978	348
IEAVTMTC	1982	259
IEAVTMTR	1985	211
IEAVTPMT	1978	348
IEAVTRCE	1978	290
IEAVTRET	1982	259
IEAVTRML	1978	348
IEAVTRT1	1978	243
IEAVTRT2	1984	028
IEAVTRTC	1982	259
IEAVTRTE	1982	258
IEAVTRV	1980	247
IEAVTSBP	1981	234
IEAVTSDC	1982	050
IEAVTSDF	1980	164
IEAVTSDG	1985	211
IEAVTSDH	1984	028
IEAVTSDL	1978	348
IEAVTSDO	1982	259
IEAVTSDR	1985	211
IEAVTSDT	1982	259
IEAVTSDU	1980	017
IEAVTSDW	1980	164
IEAVTSIG	1978	318
IEAVTSKT	1985	211
IEAVTSL1	1980	017
IEAVTSL2	1980	017
IEAVTSLB	1980	017
IEAVTSLE	1980	017
IEAVTSLP	1980	017
IEAVTSLR	1980	017
IEAVTSLS	1982	259
IEAVTSSD	1984	028
IEAVTSSE	1979	198
IEAVVCRX	1979	198
IEAVVINT	1978	269
IEAVVRP1	1980	164
IEAVVRP2	1982	258
IEAVVWTO	1984	028
IEAVXDOM	1980	247
IEAXPALL	1981	234
IEAXPDXR	1978	348
IEAXPSIM	1978	348
IEBASCAN	1984	028
IEBBSCAN	1978	348
IEBCANAL	1978	348
IEBCCS02	1978	348
IEBCNVT	1978	348
IEBCOMPM	1978	348
IEBCONH2	1978	348
IEBCONP2	1978	348
IEBCONZ2	1978	348
IEBCQSAM	1984	028
IEBCROOT	1978	348
IEBCULET	1978	348
IEBDISKT	1984	028
IEBDRB	1978	348
IEBDSU	1978	348
IEBEDIT2	1979	198
IEBGEN03	1984	028
IEBGENRT	1985	351
IEBGENS3	1978	348
IEBGMESG	1978	348
IEBGSCAN	1984	028
IEBIMAGE	1982	054
IEBIMSGS	1979	298
IEBIOE	1984	028
IEBISAM	1985	151
IEBISC	1985	149
IEBISCAN	1982	054
IEBISF	1985	149
IEBISL	1985	149
IEBISMES	1985	149
IEBISPL	1985	149
IEBISSI	1985	149
IEBISSO	1985	149
IEBISU	1985	149
IEBLDUL	1982	258
IEBLENP2	1978	348
IEBMCM	1981	233
IEBMOVE2	1978	348
IEBPPMSG	1978	348
IEBPPUN1	1980	017
IEBRSAM	1982	050
IEBUPDTE	1978	348
IEBUPLOG	1978	348
IEBUPNIT	1978	348
IEBUPXIT	1978	348
IEBVCT	1978	348
IEBVDM	1984	028
IEBVMS	1984	028
IEBWSAM	1982	050
IECBBFB1	1978	349
IECDAFMT	1985	211
IECDAFT1	1985	211
IECIOFMT	1980	164
IECIOFT1	1979	198
IECLMSGC	1986	013
IECLMSGD	1986	013
IECLMSGG	1986	013
IECLMSGM	1986	013
IECLMSGT	1986	013
IECLMSGU	1986	013
IECQBFG1	1978	349
IECTATEN	1984	028
IECTATTN	1978	348
IECTCATN	1982	258
IECTCHGN	1982	258
IECTEDIT	1978	348
IECTLERP	1978	348
IECTLOPN	1984	028
IECTONLT	1978	348
IECTSCAN	1984	028
IECTSVC	1980	225
IECTTRNS	1978	348
IECVDDT0	1982	050
IECVDURP	1984	028
IECVERPL	1986	069
IECVEXPR	1987	127
IECVHIDT	1980	017
IECVIOPM	1984	026
IECVITRP	1978	348
IECVOID	1978	333
IECVOTBL	1985	364
IECVPST	1985	211
IECVPURG	1985	211
IECVSMGR	1982	050
IECVURSV	1980	017
IED1303D	1978	349
IEDAY2	1978	349
IEDAY3	1978	348
IEDAY8	1984	028
IEDAY88	1982	050
IEDAYA	1982	259
IEDAYAA	1982	259
IEDAYBX	1978	349
IEDAYD	1981	021
IEDAYF	1981	021
IEDAYGP	1979	330
IEDAYH	1984	028
IEDAYHH	1981	233
IEDAYI	1982	259
IEDAYII	1981	233
IEDAYLL	1978	349
IEDAYOO	1982	259
IEDAYP	1978	349
IEDAYQT	1978	349
IEDAYT	1978	349
IEDAYV	1981	021
IEDAYW	1981	021
IEDAYX	1978	349
IEDAYY	1978	349
IEDAYZ	1980	225
IEDBITN	1978	349
IEDBSM	1978	349
IEDCMIN	1981	021
IEDCMOUT	1978	349
IEDCSA	1978	349
IEDCSCIN	1978	349
IEDDFOUT	1981	021
IEDDVAS	1978	349
IEDFSSTB	1978	349
IEDIAA	1981	021
IEDIAB	1981	233
IEDIAH	1980	225
IEDIAM	1982	050
IEDIAP	1981	021
IEDIAQ	1981	021
IEDIAR	1978	349
IEDIAS	1978	349
IEDIAU	1978	349
IEDKHISC	1978	349
IEDMVBFR	1978	349
IEDN25	1978	349
IEDNCU	1978	349
IEDNCU2	1981	233
IEDNGD	1981	021
IEDNID	1978	349
IEDNKA	1981	021
IEDNLT	1981	021
IEDNMG	1978	349
IEDNTR	1981	021
IEDOPTN	1980	163
IEDPCIN	1981	021
IEDPCOUT	1981	021
IEDPMD	1978	349
IEDQ10	1978	349
IEDQ11	1978	349
IEDQ12	1978	349
IEDQ13	1978	349
IEDQ14	1978	349
IEDQ16	1978	349
IEDQ17	1978	349
IEDQ18	1978	349
IEDQ19	1978	349
IEDQ20	1978	349
IEDQ21	1978	349
IEDQ22	1978	349
IEDQ23	1978	349
IEDQ24	1978	349
IEDQ25	1978	349
IEDQ26	1978	349
IEDQ27	1978	349
IEDQ28	1978	349
IEDQA0	1982	050
IEDQA1	1978	349
IEDQA2	1978	349
IEDQA3	1980	163
IEDQA4	1981	021
IEDQA5	1982	050
IEDQA6	1984	028
IEDQA7	1978	349
IEDQA8	1978	349
IEDQA9	1978	349
IEDQAB	1978	349
IEDQAC	1978	349
IEDQAD	1978	349
IEDQAE	1980	163
IEDQAF	1978	349
IEDQAG	1981	021
IEDQAH	1980	017
IEDQAI	1978	349
IEDQAJ	1981	021
IEDQAL	1978	349
IEDQAM	1981	021
IEDQAN	1978	349
IEDQAO	1978	349
IEDQAP	1978	349
IEDQAQ	1978	349
IEDQAR	1978	349
IEDQAS	1981	021
IEDQAT	1980	225
IEDQATTN	1978	349
IEDQAU	1978	349
IEDQAV	1978	349
IEDQAW	1980	225
IEDQAX	1978	349
IEDQAZ	1980	225
IEDQB1	1978	349
IEDQB2	1978	349
IEDQB3	1978	349
IEDQB4	1979	198
IEDQB7	1980	163
IEDQBA	1980	163
IEDQBB	1978	349
IEDQBC	1980	163
IEDQBD	1981	021
IEDQBE	1980	017
IEDQBF	1978	349
IEDQBG	1978	349
IEDQBH	1979	330
IEDQBI	1984	028
IEDQBJ	1980	163
IEDQBL	1980	017
IEDQBM	1979	330
IEDQBN	1978	349
IEDQBO	1981	021
IEDQBP	1978	349
IEDQBQ	1978	349
IEDQBR	1978	349
IEDQBT	1980	163
IEDQBU	1981	021
IEDQBUFF	1982	050
IEDQBV	1978	349
IEDQBX	1978	349
IEDQBY	1978	349
IEDQBZ	1978	349
IEDQCA	1980	225
IEDQDA	1981	021
IEDQE1	1978	349
IEDQE2	1978	349
IEDQE3	1978	349
IEDQE4	1978	349
IEDQE6	1978	349
IEDQE8	1978	349
IEDQEB	1981	021
IEDQEC	1980	017
IEDQES	1980	225
IEDQET	1978	349
IEDQEU	1982	259
IEDQEW	1980	225
IEDQFA	1981	233
IEDQFA1	1981	233
IEDQFA2	1981	233
IEDQFE	1978	349
IEDQFE10	1981	021
IEDQFE20	1981	021
IEDQFE30	1982	050
IEDQFM	1981	021
IEDQFW	1981	021
IEDQGA	1984	028
IEDQGH	1978	349
IEDQGP	1978	349
IEDQGQ	1982	259
IEDQGR	1978	349
IEDQGT	1981	021
IEDQHI	1978	349
IEDQHK	1981	021
IEDQHM	1981	233
IEDQHM1	1981	233
IEDQHM2	1981	233
IEDQIN	1978	349
IEDQKA	1981	021
IEDQKB	1981	021
IEDQKC	1981	021
IEDQKD	1981	021
IEDQKE	1981	021
IEDQNA	1978	349
IEDQNA2	1978	349
IEDQNB	1978	349
IEDQND	1982	050
IEDQNF	1982	259
IEDQNG	1980	163
IEDQNH	1980	163
IEDQNJ	1978	349
IEDQNK	1980	163
IEDQNO	1980	163
IEDQNP	1978	349
IEDQNQ	1981	233
IEDQNR	1978	349
IEDQNS	1980	017
IEDQNT	1978	349
IEDQNU	1978	349
IEDQNV	1978	349
IEDQNW	1978	349
IEDQNX	1981	021
IEDQOA	1981	233
IEDQOT01	1980	225
IEDQRS	1981	233
IEDQSBT	1982	259
IEDQTL	1978	349
IEDQUI	1978	349
IEDQW25	1978	349
IEDQW33	1978	349
IEDQW42	1978	349
IEDQW44	1978	349
IEDQW47	1978	349
IEDQWA	1978	349
IEDQWA1	1978	349
IEDQWAA	1978	349
IEDQWAB	1978	349
IEDQWAC	1978	349
IEDQWAJ	1978	349
IEDQWB1	1978	349
IEDQWB2	1981	233
IEDQWC	1978	349
IEDQWC1	1978	349
IEDQWC2	1978	349
IEDQWD	1978	349
IEDQWE2	1979	198
IEDQWEC	1978	349
IEDQWF	1978	349
IEDQWF1	1978	349
IEDQWH	1978	349
IEDQWI	1978	349
IEDQWI5U	1978	349
IEDQWI7	1978	349
IEDQWI8	1978	349
IEDQWIA	1978	349
IEDQWID	1978	349
IEDQWIE	1978	349
IEDQWJ	1978	349
IEDQWJ1	1978	349
IEDQWJ2	1978	349
IEDQWK	1978	349
IEDQWL	1978	349
IEDQWL1	1978	349
IEDQWL2	1978	349
IEDQWL3	1978	349
IEDQWM2	1978	349
IEDQWN	1978	349
IEDQWO	1981	233
IEDQWP	1978	349
IEDQWP1	1978	349
IEDQWP2	1978	349
IEDQWQ	1978	349
IEDQWR	1978	349
IEDQWS	1978	349
IEDQWX	1978	349
IEDQWY	1978	349
IEDQXA	1978	349
IEDRQIN	1978	349
IEDRSPIN	1981	021
IEDSAC	1981	021
IEDSAI	1981	021
IEDSAO	1981	021
IEDSARI	1981	021
IEDSCLU	1978	349
IEDSCPDS	1980	017
IEDSCPRP	1978	349
IEDSCPRQ	1981	021
IEDSCPSS	1978	349
IEDSNS	1980	017
IEDTEDIT	1979	330
IEDUNBND	1979	330
IEDUSSTB	1979	330
IEDXFMI	1978	349
IEDXFMO	1978	349
IEDXTREQ	1978	349
IEE0003D	1982	050
IEE00110	1973	288
IEE0303D	1980	017
IEE0503D	1979	044
IEE0603D	1973	348
IEE0703D	1981	234
IEE0803D	1986	050
IEE10110	1978	269
IEE11110	1978	349
IEE12110	1978	349
IEE1403D	1985	238
IEE22110	1978	349
IEE2303D	1978	349
IEE3203D	1985	238
IEE3303D	1980	017
IEE3503D	1985	238
IEE3603D	1981	234
IEE3703D	1979	330
IEE40110	1979	330
IEE4103D	1978	349
IEE4203D	1981	234
IEE4303D	1978	349
IEE4403D	1980	017
IEE4703D	1980	017
IEE4803D	1980	017
IEE5103D	1982	050
IEE5403D	1979	044
IEE5603D	1982	050
IEE5703D	1978	349
IEE5903D	1979	044
IEE6303D	1978	349
IEE6403D	1978	349
IEE6503D	1980	247
IEE6603D	1978	349
IEE6703D	1982	050
IEE6803D	1980	164
IEE6903D	1980	164
IEE7203D	1978	349
IEE7303D	1980	017
IEE7503D	1981	235
IEE7703D	1978	349
IEE7803D	1981	234
IEE8603D	1978	349
IEE8B03D	1982	259
IEE90110	1978	349
IEE9403D	1978	349
IEEAB400	1979	330
IEEAB401	1979	330
IEEBASEC	1979	044
IEECB801	1978	348
IEECB806	1979	044
IEECB860	1979	080
IEECB866	1981	021
IEECB900	1978	348
IEECB901	1978	348
IEECB904	1982	258
IEECB905	1981	021
IEECB906	1984	028
IEECB907	1982	050
IEECB908	1978	318
IEECB909	1982	050
IEECB910	1978	348
IEECB911	1978	348
IEECB912	1979	330
IEECB914	1984	028
IEECB915	1978	356
IEECLEAN	1982	259
IEECVET3	1980	164
IEECVET6	1981	021
IEECVET7	1978	348
IEECVET8	1981	021
IEECVET9	1981	021
IEECVETA	1981	021
IEECVETD	1978	348
IEECVETE	1981	021
IEECVETF	1978	348
IEECVETJ	1982	258
IEECVFT1	1978	348
IEECVFT2	1981	235
IEECVFTA	1978	348
IEECVFTB	1981	021
IEECVFTD	1978	348
IEECVFTG	1980	017
IEECVFTL	1981	235
IEECVFTN	1981	234
IEECVFTP	1982	050
IEECVFTT	1978	348
IEECVXIT	1982	208
IEEDISPD	1978	348
IEEMB803	1989	006
IEEMB804	1985	319
IEEMB805	1980	247
IEEMB806	1987	210
IEEMB807	1978	348
IEEMB808	1979	044
IEEMB809	1979	044
IEEMB810	1979	330
IEEMB811	1979	044
IEEMB812	1979	044
IEEMB813	1980	017
IEEMB814	1979	044
IEEMB815	1978	348
IEEMB816	1979	044
IEEMB820	1978	348
IEEMB821	1978	348
IEEMB822	1978	348
IEEMB823	1979	330
IEEMB824	1978	348
IEEMB825	1981	021
IEEMB826	1978	348
IEEMB827	1978	348
IEEMB828	1978	348
IEEMB829	1979	080
IEEMB860	1980	164
IEEMB876	1979	044
IEEMB877	1979	044
IEEMB878	1979	044
IEEMB879	1984	028
IEEMB880	1978	269
IEEMPDEV	1981	235
IEEMPS03	1981	235
IEEMPVST	1982	050
IEEPALTR	1978	348
IEEPRTN2	1986	050
IEEPRWI2	1978	348
IEESB601	1978	348
IEESB605	1979	198
IEESB606	1978	348
IEESTPRS	1980	247
IEEVALST	1981	234
IEEVCPU	1984	028
IEEVDUMY	1978	348
IEEVEXSN	1984	028
IEEVIPL	1985	004
IEEVJCL	1978	348
IEEVLDWT	1979	010
IEEVMNT2	1981	234
IEEVPTH	1982	050
IEEVSDIO	1985	211
IEEVSEND	1985	211
IEEVSMSG	1978	348
IEEVSND2	1981	021
IEEVSND3	1985	304
IEEVSND4	1978	348
IEEVSND5	1978	348
IEEVSND6	1978	348
IEEVSND8	1978	348
IEEVSND9	1978	348
IEEVSTAR	1978	348
IEEVWAIT	1979	044
IEEVWKUP	1982	050
IEFAB421	1984	028
IEFAB422	1978	349
IEFAB423	1985	211
IEFAB424	1978	349
IEFAB425	1978	349
IEFAB426	1988	348
IEFAB427	1981	234
IEFAB428	1978	349
IEFAB430	1978	349
IEFAB431	1985	211
IEFAB432	1985	112
IEFAB433	1979	198
IEFAB434	1985	211
IEFAB435	1985	211
IEFAB436	1985	211
IEFAB438	1978	349
IEFAB440	1978	349
IEFAB441	1985	211
IEFAB442	1978	349
IEFAB445	1978	349
IEFAB451	1978	349
IEFAB452	1989	006
IEFAB453	1978	349
IEFAB454	1978	349
IEFAB455	1985	211
IEFAB456	1985	211
IEFAB457	1979	330
IEFAB458	1986	192
IEFAB459	1985	211
IEFAB461	1985	211
IEFAB463	1978	349
IEFAB464	1986	051
IEFAB466	1978	349
IEFAB469	1979	330
IEFAB470	1979	044
IEFAB471	1979	330
IEFAB472	1981	234
IEFAB473	1978	349
IEFAB474	1979	198
IEFAB475	1978	349
IEFAB476	1978	349
IEFAB477	1980	247
IEFAB478	1978	349
IEFAB479	1978	349
IEFAB480	1978	349
IEFAB481	1978	349
IEFAB485	1980	247
IEFAB486	1979	198
IEFAB487	1979	330
IEFAB488	1981	234
IEFAB489	1978	349
IEFAB48A	1979	330
IEFAB490	1985	211
IEFAB491	1979	330
IEFAB492	1985	211
IEFAB493	1978	349
IEFAB494	1979	330
IEFAB495	1978	349
IEFAB496	1980	164
IEFAB498	1978	349
IEFAB499	1978	349
IEFAB49A	1980	164
IEFAB49B	1980	164
IEFAB49C	1978	349
IEFAB4A0	1978	349
IEFAB4A2	1985	211
IEFAB4A3	1978	349
IEFAB4A4	1980	017
IEFAB4A6	1978	349
IEFAB4A8	1985	211
IEFAB4B2	1978	349
IEFAB4DC	1982	050
IEFAB4DE	1978	349
IEFAB4E0	1979	330
IEFAB4E1	1978	349
IEFAB4E2	1981	234
IEFAB4E3	1978	349
IEFAB4E4	1978	349
IEFAB4E5	1984	026
IEFAB4E6	1978	349
IEFAB4E7	1978	349
IEFAB4E8	1981	234
IEFAB4E9	1978	349
IEFAB4EA	1979	330
IEFAB4EB	1978	349
IEFAB4EC	1979	330
IEFAB4ED	1979	044
IEFAB4EE	1985	211
IEFAB4EF	1979	330
IEFAB4F0	1978	349
IEFAB4F1	1978	349
IEFAB4F2	1978	349
IEFAB4F4	1985	211
IEFAB4F5	1985	211
IEFAB4F6	1978	349
IEFAB4F7	1978	349
IEFAB4F8	1978	349
IEFAB4F9	1978	349
IEFAB4FA	1985	211
IEFAB4FC	1980	017
IEFAB4FD	1978	349
IEFAB4FE	1978	349
IEFAB4FF	1978	349
IEFAB4M4	1978	349
IEFAB4M5	1978	349
IEFAB4M6	1978	349
IEFAB4M7	1978	349
IEFAB4M9	1978	349
IEFAB4SF	1980	247
IEFAB4UV	1979	044
IEFAB820	1978	349
IEFACT	1978	349
IEFACTRT	1978	349
IEFAQTOP	1979	044
IEFATECB	1978	349
IEFBB401	1978	349
IEFBB402	1985	211
IEFBB404	1978	349
IEFBB410	1981	234
IEFBB412	1978	349
IEFBB414	1978	349
IEFBB416	1985	211
IEFBB4M1	1978	349
IEFBB4M2	1978	349
IEFBB4M3	1985	211
IEFBB4M4	1978	349
IEFBB4M5	1978	349
IEFBR14	1978	349
IEFDB400	1985	211
IEFDB401	1978	349
IEFDB402	1978	349
IEFDB403	1978	349
IEFDB410	1985	211
IEFDB411	1985	211
IEFDB412	1982	258
IEFDB413	1985	211
IEFDB414	1982	258
IEFDB417	1978	349
IEFDB418	1985	211
IEFDB450	1978	349
IEFDB460	1978	349
IEFDB470	1979	080
IEFDB480	1978	349
IEFDB481	1978	349
IEFDB490	1978	349
IEFDB4A0	1982	258
IEFDB4D0	1982	258
IEFDB4F8	1982	050
IEFDB4F9	1982	050
IEFDB4FA	1978	349
IEFDB4FB	1978	349
IEFDB4FC	1978	349
IEFDB4FD	1978	349
IEFDB4FE	1978	349
IEFDB4FF	1978	349
IEFDPOST	1978	349
IEFDSLST	1978	349
IEFDSTBL	1978	349
IEFEB400	1984	028
IEFEB4M1	1979	044
IEFI922B	1978	349
IEFIB600	1979	044
IEFIB605	1978	349
IEFIB620	1978	349
IEFIB621	1985	211
IEFIB650	1985	211
IEFIB660	1982	050
IEFICATL	1978	349
IEFICPUA	1978	349
IEFIMASK	1978	349
IEFIRECM	1978	349
IEFJACTL	1978	349
IEFJCDLT	1978	349
IEFJCNTL	1981	021
IEFJDIRD	1978	349
IEFJDSNA	1978	349
IEFJDWRT	1978	349
IEFJESDM	1979	044
IEFJJCLS	1978	349
IEFJJOBS	1978	349
IEFJJTRM	1978	349
IEFJRASP	1978	349
IEFJREAD	1978	349
IEFJRECM	1978	349
IEFJSDTN	1986	294
IEFJSINT	1978	349
IEFJSREQ	1978	349
IEFJSSNT	1978	349
IEFJSWT	1980	017
IEFJWRTE	1978	349
IEFJWTOM	1988	266
IEFNB901	1987	128
IEFNB902	1978	349
IEFNB903	1985	211
IEFNB9CR	1978	349
IEFNB9CT	1978	349
IEFNB9IR	1978	349
IEFNB9IT	1978	349
IEFQB550	1981	021
IEFQB555	1982	258
IEFQB580	1978	349
IEFQB585	1978	349
IEFRSTRT	1978	349
IEFSCAN	1978	349
IEFSD087	1980	017
IEFSD088	1980	017
IEFSD089	1984	028
IEFSD094	1980	017
IEFSD095	1980	017
IEFSD101	1986	269
IEFSD102	1985	211
IEFSD103	1981	021
IEFSD160	1978	349
IEFSD161	1980	247
IEFSD162	1979	080
IEFSD164	1985	189
IEFSD166	1985	211
IEFSDTTE	1982	258
IEFSDXXX	1980	017
IEFSMFIE	1981	021
IEFTB720	1978	349
IEFTB721	1982	050
IEFTB722	1982	050
IEFTB723	1979	330
IEFU29	1978	349
IEFU83	1978	349
IEFUJI	1978	349
IEFUJP	1978	349
IEFUJV	1978	349
IEFUSI	1978	349
IEFUSO	1978	349
IEFUTL	1978	349
IEFVDBSD	1980	017
IEFVFB	1988	281
IEFVGI	1978	349
IEFVGK	1978	349
IEFVGM	1985	211
IEFVGM1	1978	349
IEFVGM10	1978	349
IEFVGM11	1978	349
IEFVGM12	1978	349
IEFVGM13	1978	349
IEFVGM14	1978	349
IEFVGM15	1978	349
IEFVGM16	1978	349
IEFVGM17	1978	349
IEFVGM18	1978	349
IEFVGM19	1978	349
IEFVGM2	1978	349
IEFVGM3	1978	349
IEFVGM4	1978	349
IEFVGM5	1978	349
IEFVGM6	1978	349
IEFVGM67	1978	349
IEFVGM7	1978	349
IEFVGM70	1978	349
IEFVGM71	1979	198
IEFVGM76	1978	349
IEFVGM78	1978	349
IEFVGM8	1978	349
IEFVGM9	1978	349
IEFVGM90	1978	349
IEFVGS	1985	211
IEFVGT	1980	164
IEFVH1	1985	211
IEFVHA	1985	211
IEFVHC	1982	050
IEFVHCB	1985	211
IEFVHE	1985	211
IEFVHEB	1978	349
IEFVHF	1985	211
IEFVHH	1980	164
IEFVHL	1978	349
IEFVHM	1978	349
IEFVHN	1978	349
IEFVHQ	1985	211
IEFVHR	1978	349
IEFVINA	1985	211
IEFVINB	1978	349
IEFVINC	1985	232
IEFVIND	1978	349
IEFVINE	1978	349
IEFVJA	1985	211
IEFXB500	1985	211
IEFXB601	1985	211
IEFXB602	1978	349
IEFXB603	1978	349
IEFXB604	1978	349
IEFXVNSL	1978	349
IEHATLAS	1982	050
IEHDAOUT	1978	348
IEHDASDR	1978	348
IEHDCONS	1978	348
IEHDDATE	1978	348
IEHDLABL	1981	234
IEHDMSGB	1978	348
IEHDMSGS	1981	234
IEHDPRNT	1979	198
IEHDSCAN	1980	225
IEHLIST2	1978	348
IEHMESS	1978	348
IEHMOVE	1984	028
IEHMVESA	1979	198
IEHMVESC	1982	258
IEHMVESI	1978	348
IEHMVESK	1984	028
IEHMVESL	1984	028
IEHMVESM	1984	028
IEHMVESN	1984	028
IEHMVESO	1979	198
IEHMVESP	1978	348
IEHMVESQ	1978	348
IEHMVESR	1979	198
IEHMVEST	1984	028
IEHMVESU	1980	164
IEHMVETG	1981	233
IEHMVETJ	1984	028
IEHMVMRY	1978	348
IEHMVMRZ	1984	028
IEHMVMSN	1979	198
IEHMVMSQ	1979	198
IEHMVMSY	1984	028
IEHMVMTA	1978	348
IEHMVMTL	1979	198
IEHMVSRA	1979	198
IEHMVSRD	1981	021
IEHMVSRK	1984	028
IEHMVSRM	1978	348
IEHMVSRV	1984	028
IEHMVSRX	1984	028
IEHMVSRY	1984	028
IEHMVSRZ	1985	310
IEHMVSSF	1984	028
IEHMVSSS	1978	348
IEHMVSSV	1981	233
IEHMVSSY	1984	028
IEHMVSSZ	1984	028
IEHMVSTA	1984	028
IEHMVSTC	1984	028
IEHMVSTL	1984	028
IEHMVXSE	1984	028
IEHMVXSF	1981	233
IEHPRNT	1978	348
IEHPROG3	1984	028
IEHPROG4	1979	330
IEHPROG5	1979	330
IEHSCAN	1978	348
IEWFTMIN	1978	349
IEWSWOVR	1984	028
IEZDCODE	1978	349
IEZNCODE	1978	349
IFCCRNDR	1982	019
IFCE0145	1982	019
IFCE0155	1982	019
IFCE2860	1982	019
IFCE2870	1982	019
IFCEA165	1982	019
IFCEAEXX	1982	019
IFCEB155	1982	019
IFCEB165	1982	019
IFCEC155	1982	019
IFCECHAR	1982	019
IFCED165	1982	019
IFCEDDR0	1982	019
IFCEDPA	1982	123
IFCEE155	1982	019
IFCEE165	1982	019
IFCEF165	1982	019
IFCEI135	1982	019
IFCEI155	1982	019
IFCEIPL0	1982	123
IFCEJ145	1982	019
IFCELEX1	1982	019
IFCEMAD1	1982	019
IFCEMER0	1982	019
IFCEMER1	1982	019
IFCEMER2	1982	019
IFCEMER3	1982	019
IFCEMER5	1982	019
IFCENAGO	1982	019
IFCERFMT	1982	123
IFCESOFT	1982	123
IFCET002	1982	019
IFCET004	1982	019
IFCET005	1982	019
IFCET006	1982	019
IFCET00B	1982	019
IFCETRN1	1982	019
IFCETRN2	1982	019
IFCETRN4	1982	019
IFCETRN8	1982	019
IFCETUL1	1982	019
IFCEUKNO	1982	019
IFCEWHT1	1982	019
IFCEWIN1	1982	019
IFCEXXX0	1982	019
IFCEXXX1	1982	019
IFCEXXX2	1982	019
IFCEXXX3	1982	019
IFCEXXX4	1982	019
IFCEXXX5	1982	019
IFCEXXX6	1982	019
IFCEXXX7	1982	019
IFCEXXX8	1982	019
IFCEXXX9	1982	019
IFCEXXXA	1982	019
IFCEXXXB	1982	019
IFCEXXXD	1982	020
IFCEXXXE	1982	019
IFCEXXXX	1982	019
IFCFMTIO	1982	019
IFCFRAMS	1982	019
IFCRFLO1	1982	019
IFCS0135	1982	019
IFCS0145	1982	019
IFCS0155	1982	019
IFCS0165	1982	019
IFCS2860	1982	019
IFCS2870	1982	019
IFCS2880	1982	019
IFCS3031	1982	019
IFCS3032	1982	019
IFCS3033	1982	019
IFCSAEXX	1982	019
IFCSAXXX	1982	019
IFCSCHAR	1982	019
IFCSCRND	1982	019
IFCSCRXX	1982	019
IFCSDICH	1982	019
IFCSI145	1982	019
IFCSI155	1982	019
IFCSIPL0	1982	019
IFCSNAGO	1982	019
IFCST003	1982	019
IFCST005	1982	019
IFCST006	1982	019
IFCST008	1982	019
IFCST00B	1982	019
IFCSUKNO	1982	019
IFCSXXX0	1982	019
IFCSXXX1	1982	019
IFCSXXX2	1982	019
IFCSXXX3	1982	019
IFCSXXX4	1982	019
IFCSXXX5	1982	019
IFCSXXX6	1982	019
IFCSXXX7	1982	019
IFCSXXX8	1982	019
IFCSXXX9	1982	019
IFCSXXXA	1982	019
IFCSXXXE	1982	019
IFCSXXXG	1982	019
IFCSXXXX	1982	019
IFCSYMCD	1982	019
IFCT1107	1982	019
IFCT1204	1982	019
IFCT1307	1982	019
IFCT2104	1982	019
IFCT2204	1982	019
IFCT2305	1982	020
IFCT3102	1982	019
IFCT3204	1982	019
IFCTA105	1982	019
IFCTA201	1982	019
IFCTA301	1982	019
IFCTABLE	1982	019
IFCTB105	1982	019
IFCTB205	1982	019
IFCTB305	1982	019
IFCTB405	1982	019
IFCTC104	1982	019
IFCTC201	1982	019
IFCTC205	1982	019
IFCTC301	1982	019
IFCTC305	1982	019
IFCTC401	1982	019
IFDMSG00	1985	211
IFDMSG03	1985	211
IFDMSG04	1978	349
IFDMSG05	1978	349
IFDMSG06	1978	349
IFDMSG07	1978	349
IFDMSG08	1978	349
IFDMSG13	1978	349
IFDMSG22	1978	349
IFDMSG31	1978	349
IFDMSG32	1978	349
IFDMSG33	1978	349
